nombre_comuna;nombre_barrio;zona;sitio_atencion;direccion_sitio_atencion;disciplina_y_o_actividad;Lunes;Martes;Miercoles;Jueves;Viernes;sabado;Domingo;hora_inicio;hora_fin;corregimiento;vereda;nivel deportivo;programa;MONITOR;nombre grupo
1;Terrón Colorado;Urbana;Unidad  recreativo  Tory Castro;CLL 19  #  4 BIS O- 50;ACUATICA;;Martes;;;;;;9:00.am;10:00.am;;;No aplica;ActivaMente;PAULO PLAZA;ACT-C-1-PAULO.PLAZA-G02-HIBROTERAPIA
1;Terrón Colorado;Urbana;CASA DE LA PAZ - TERRON COLORADO;Calle 21B oeste # 6-01;FUNCIONAL;;;Miercoles;Jueves;;;;7:00.am-7:00.am;8:00.am-8:00.am;;;No aplica;ActivaMente;PAULO PLAZA;ACT-C-1-PAULO.PLAZA-G03-TRANSFORMACION SOCIAL
1;Terrón Colorado;Urbana;Unidad  recreativo  Tory Castro;CLL 19  #  4 BIS O- 50;ACUATICA;;;Miercoles;;;;;7:00.pm;8:00.pm;;;No aplica;ActivaMente;PAULO PLAZA;ACT-C-1-PAULO.PLAZA-G05-HIBRO GYM
1;Aguacatal;Urbana;COLISEO CUBIERTO BAJO AGUACATAL;A 15 O # 10 - 00;FUNCIONAL;;;;Jueves;;;;8:00.am;9:00.am;;;No aplica;ActivaMente;PAULO PLAZA;ACT-C-1-PAULO.PLAZA-G06-NUEVO AMANECER
1;Terrón Colorado;Urbana;UNIDAD RECREATIVA TORY CASTRO;C 19 # 4 BIS O-50;ACTIVIDAD FÍSICA Y RECREACIÓN ADAPTADA;;;Miercoles;;Viernes;;;4:00.pm-4:00.pm;5:30.pm-5:30.pm;;;No aplica;Cali Incluyente;MARIO montenegro;CI - ACTIVIDAD FISICA Y RECREACIÓN ADAPTADA - C1 - G01
1;Terrón Colorado;Urbana;LOS COLORES DE MI INFANCIA;AV. 5 OE #24-33;JUEGO EN ACCION PARA UNA INFANCIA MEJOR;;Martes;;;;;;9:55.am;10:35.am;;;No aplica;Cali juega;DAYANA CARABALI;CJ-PI-C1-LCDI-AVE
1;Terrón Colorado;Urbana;LOS COLORES DE MI INFANCIA;AV. 5 OE #24-33;JUEGO EN ACCION PARA UNA INFANCIA MEJOR;;Martes;;;;;;9:15.am;9:55.am;;;No aplica;Cali juega;DAYANA CARABALI;CJ-PI-C1-LCDI-AYE
1;Terrón Colorado;Urbana;LOS COLORES DE MI INFANCIA;AV. 5 OE #24-33;JUEGO EN ACCION PARA UNA INFANCIA MEJOR;;Martes;;;;;;10:35.am;11:15.am;;;No aplica;Cali juega;DAYANA CARABALI;CJ-PI-C1-LCDI-PC
1;Aguacatal;Urbana;Cancha Multiple Bajo Aguacatal;Av. 14a Oeste #8 Oeste-1 a 8;acondicionamiento fisico;;;;Jueves;;;;7:00.pm;8:00.pm;;;No aplica;Carreras y Caminatas;ESTEFANIA CABEZAS;CYC-ACONDICIONAMIENTO FISICO-C18-ESTEFANIA CABEZAS-G03
1;Terrón Colorado;Urbana;CANCHA MULTIPLE VILLA DEL MAR;av 8va oeste #30c - 40;acondicionamiento fisico;;Martes;;;;;;8:10.am;9:10.am;;;No aplica;Carreras y Caminatas;HAMILTON DAVILA;VILLAS DE GUADALUPE
1;Terrón Colorado;Urbana;I.E ISAIAS GAMBOA- JOSE CELESTINO MUTIS;1706;RECREO DEPORTIVO;Lunes;;;;;;;8:00AM;9:00am;;;No aplica;Deporte Escolar;DIANA MURILLO;2127
1;Terrón Colorado;Urbana;I.E ISAIAS GAMBOA- ALEJANDRO CABAL POMBO;1722;RECREO DEPORTIVO;Lunes;;;;;;;7:00AM;8:35am;;;No aplica;Deporte Escolar;MARGARETH ESTACIO;2143
1;Terrón Colorado;Urbana;Cancha múltiple la Fortuna-;Av. 2 Oeste # 20b - 12;SESIONES LUDICOPEDAGOGICAS;;;;;;Sabado;;5:00.pm;6:00.pm;;;No aplica;Poblacion y Etnias;ANNY YALANDA;PYE-INDIGENA-C01- CANCHA MULTIPLE LA FORTUNA-ANNY YALANDA-G02
1;Terrón Colorado;Urbana;FUNDACION FRIDALRIS;AVENIDA 6 OESTE # 13-21 3ER PISO;SESIONES LUDICOPEDAGOGICAS;;;;;Viernes;;;6:30.pm;7:30.pm;;;No aplica;Poblacion y Etnias;MELISA TREJO;PYE-LGTBIQ+-COLECTIVOS-C1-FRIDAIRIS-MELISSA TREJOS-G04
1;Terron Colorado;Urbana;CANCHA DE FUTBOL TORY CASTRO;A 4 Oeste # 16;FUTBOL;Lunes;;Miercoles;;;;;14:30:00; 16:00:00;;;Irradiacion;Deporvida;FABIAN  POMEO RAMIREZ;-
1;Terron Colorado;Urbana;CANCHA DE FUTBOL TORY CASTRO;A 4 Oeste # 16;FUTBOL;;;;;Viernes;;;16:00:00; 17:30:00;;;Irradiacion;Deporvida;FABIAN  POMEO RAMIREZ;-
1;Terron Colorado;Urbana;CANCHA DE FUTBOL TORY CASTRO;A 4 Oeste # 16;FUTBOL;;;Miercoles;;;;;16:05:00; 17:30:00;;;Irradiacion;Deporvida;FABIAN  POMEO RAMIREZ;-
1;Terron Colorado;Urbana;CANCHA DE FUTBOL TORY CASTRO;A 4 Oeste # 16;FUTBOL;;;;;Viernes;;;14:30:00; 16:00:00;;;Irradiacion;Deporvida;FABIAN  POMEO RAMIREZ;-
1;Terron Colorado;Urbana;CANCHA DE FUTBOL TORY CASTRO;A 4 Oeste # 16;FUTBOL;Lunes;;;;;;;16:05:00; 17:30:00;;;Irradiacion;Deporvida;FABIAN  POMEO RAMIREZ;-
1;Terron Colorado;Urbana;CANCHA DE FUTBOL TORY CASTRO;A 4 Oeste # 16;FUTBOL;;;Miercoles;;Viernes;;;17:30:00; 19:00:00;;;Fundamentacion;Deporvida;FABIAN  POMEO RAMIREZ;-
1;Aguacatal;Urbana;COLISEO CUBIERTO BAJO AGUACATAL;A 15 Oeste # 10 00;FUTBOL SALA;Lunes;;Miercoles;;Viernes;;;18:00:00; 19:30:00;;;Base;Deporvida;SERGIO esteban JARAMILLO PARDO;-
1;Aguacatal;Urbana;COLISEO CUBIERTO BAJO AGUACATAL;A 15 Oeste # 10 00;FUTBOL SALA;Lunes;;Miercoles;;Viernes;;;19:30:00; 21:00:00;;;Irradiacion;Deporvida;SERGIO esteban JARAMILLO PARDO;-
1;Terron Colorado;Urbana;CANCHA DE FUTBOL PANORAMA;A 4 Oeste # 14 00;FUTBOL SALA;Lunes;;Miercoles;;;;;17:00:00; 19:00:00;;;Irradiacion;Deporvida;LUIS ENRIQUE VERGARA ;-
1;Terron Colorado;Urbana;CANCHA DE FUTBOL PANORAMA;A 4 Oeste # 14 00;FUTBOL SALA;Lunes;;Miercoles;;;;;19:00:00; 21:00:00;;;Fundamentacion;Deporvida;LUIS ENRIQUE VERGARA ;-
1;Terron Colorado;Urbana;CANCHA DE FUTBOL PANORAMA;A 4 Oeste # 14 00;FUTBOL SALA;;;;Jueves;;;;19:00:00; 20:29:00;;;Fundamentacion;Deporvida;LUIS ENRIQUE VERGARA ;-
1;Terron Colorado;Urbana;CANCHA DE FUTBOL PANORAMA;A 4 Oeste # 14 00;FUTBOL SALA;;Martes;;;;;;19:00:00; 20:30:00;;;Fundamentacion;Deporvida;LUIS ENRIQUE VERGARA ;-
